00:11:12.0695579 [Info] User 0 sets frequency to 1.2.
00:11:12.2186227 [Info] User 0 sets frequency to 1.3.
00:11:12.5343671 [Info] User 0 sets frequency to 1.4.
00:11:12.6525539 [Info] User 0 sets frequency to 1.5.
00:11:13.2849096 [Info] User 0 sets frequency to 1.4.
00:11:15.0343103 [Info] User 0 sets frequency to 1.3.
00:11:15.4864200 [Info] User 0 sets frequency to 1.2.
00:11:15.6519007 [Info] User 0 sets frequency to 1.1.
00:11:15.7031816 [Info] User 0 sets frequency to 1.2.
00:11:33.9391748 [Info] User 0 sets frequency to 0.9.
00:11:37.8973764 [Info] User sets phase shift to 6.213372.
00:11:38.0815704 [Info] User sets phase shift to 6.195919.
00:11:38.1020939 [Info] User sets phase shift to 6.126106.
00:11:38.8511833 [Info] User sets phase shift to 4.8869224.
00:11:39.0681299 [Info] User sets phase shift to 5.131268.
00:11:39.0864772 [Info] User sets phase shift to 5.2708945.
00:11:39.0998287 [Info] User sets phase shift to 5.393068.
00:11:39.1182684 [Info] User sets phase shift to 5.4279737.
00:11:39.1995405 [Info] User sets phase shift to 5.4105206.
00:11:39.2142026 [Info] User sets phase shift to 5.375614.
00:11:39.2313416 [Info] User sets phase shift to 5.358161.
00:11:39.2481493 [Info] User sets phase shift to 5.323254.
00:11:39.2655264 [Info] User sets phase shift to 5.2708945.
00:11:39.2997226 [Info] User sets phase shift to 5.2185345.
00:11:39.3168506 [Info] User sets phase shift to 5.0440016.
00:11:39.3331510 [Info] User sets phase shift to 4.956735.
00:11:39.3488723 [Info] User sets phase shift to 4.939282.
00:11:39.3636485 [Info] User sets phase shift to 4.904375.
00:11:39.3803200 [Info] User sets phase shift to 4.8869224.
00:11:39.4649239 [Info] User sets phase shift to 4.8520155.
00:11:39.5498883 [Info] User sets phase shift to 4.8345623.
00:11:39.6117147 [Info] User sets phase shift to 4.7822022.
00:11:39.6326231 [Info] User sets phase shift to 4.764749.
00:11:39.9326540 [Info] User sets phase shift to 4.7822022.
00:11:39.9792266 [Info] User sets phase shift to 4.7996554.
00:11:40.0994823 [Info] User sets phase shift to 4.8520155.
00:11:45.5167322 [Info] User 0 sets frequency to 1.1.
00:11:46.1314270 [Info] User sets phase shift to 5.0440016.
00:11:46.4469091 [Info] User sets phase shift to 5.0614552.
00:11:46.4649036 [Info] User sets phase shift to 5.0789084.
00:11:46.5134294 [Info] User sets phase shift to 5.0963616.
00:11:46.5666019 [Info] User sets phase shift to 5.113815.
00:11:46.5828943 [Info] User sets phase shift to 5.131268.
00:11:46.6484629 [Info] User sets phase shift to 5.148721.
00:11:51.7820760 [Info] User sets phase shift to 5.131268.
00:11:51.7995696 [Info] User sets phase shift to 5.113815.
00:11:51.8147116 [Info] User sets phase shift to 5.0963616.
00:11:51.8643255 [Info] User sets phase shift to 5.0789084.
00:11:51.8802064 [Info] User sets phase shift to 5.0614552.
00:11:51.8988369 [Info] User sets phase shift to 5.0440016.
00:11:51.9490395 [Info] User sets phase shift to 5.0265484.
00:11:51.9653097 [Info] User sets phase shift to 5.0090947.
