frame,timestamp_sec,speed_px/s,distance_px/s
736,24.5578,0.000,0.000
737,24.5912,0.000,0.000
738,24.6246,0.000,0.000
739,24.6579,0.000,0.000
740,24.6913,0.000,0.000
741,24.7247,0.000,0.000
742,24.7580,0.000,0.000
743,24.7914,0.000,0.000
744,24.8248,0.000,0.000
745,24.8581,0.000,0.000
746,24.8915,0.000,0.000
747,24.9249,0.000,0.000
748,24.9582,0.000,0.000
749,24.9916,0.000,0.000
750,25.0250,0.000,0.000
751,25.0583,7.493,0.250
752,25.0917,0.000,0.000
753,25.1251,0.000,0.000
754,25.1584,0.000,0.000
755,25.1918,0.000,0.000
756,25.2252,0.000,0.000
757,25.2585,0.000,0.000
758,25.2919,0.000,0.000
759,25.3253,0.000,0.000
760,25.3586,0.000,0.000
761,25.3920,0.000,0.000
762,25.4254,0.000,0.000
763,25.4587,0.000,0.000
764,25.4921,0.000,0.000
765,25.5255,0.000,0.000
766,25.5588,0.000,0.000
767,25.5922,0.000,0.000
768,25.6256,0.000,0.000
769,25.6589,0.000,0.000
770,25.6923,0.000,0.000
771,25.7257,0.000,0.000
772,25.7590,0.000,0.000
773,25.7924,0.000,0.000
774,25.8258,0.000,0.000
775,25.8591,0.000,0.000
776,25.8925,7.493,0.250
777,25.9259,7.493,0.250
778,25.9592,0.000,0.000
779,25.9926,0.000,0.000
780,26.0260,0.000,0.000
781,26.0593,0.000,0.000
782,26.0927,0.000,0.000
783,26.1261,0.000,0.000
784,26.1594,0.000,0.000
785,26.1928,0.000,0.000
786,26.2262,0.000,0.000
787,26.2595,0.000,0.000
788,26.2929,0.000,0.000
789,26.3263,0.000,0.000
790,26.3596,0.000,0.000
791,26.3930,0.000,0.000
792,26.4264,0.000,0.000
793,26.4597,0.000,0.000
794,26.4931,0.000,0.000
795,26.5265,0.000,0.000
796,26.5598,7.493,0.250
797,26.5932,0.000,0.000
798,26.6266,0.000,0.000
799,26.6599,0.000,0.000
800,26.6933,0.000,0.000
801,26.7267,0.000,0.000
802,26.7600,0.000,0.000
803,26.7934,0.000,0.000
804,26.8268,0.000,0.000
805,26.8601,0.000,0.000
806,26.8935,0.000,0.000
807,26.9269,0.000,0.000
808,26.9602,0.000,0.000
809,26.9936,7.493,0.250
810,27.0270,0.000,0.000
811,27.0603,0.000,0.000
812,27.0937,0.000,0.000
813,27.1271,0.000,0.000
814,27.1604,0.000,0.000
815,27.1938,0.000,0.000
816,27.2272,0.000,0.000
817,27.2605,0.000,0.000
818,27.2939,0.000,0.000
819,27.3273,0.000,0.000
820,27.3606,0.000,0.000
821,27.3940,0.000,0.000
822,27.4274,0.000,0.000
823,27.4607,0.000,0.000
824,27.4941,0.000,0.000
825,27.5275,0.000,0.000
826,27.5608,0.000,0.000
827,27.5942,0.000,0.000
828,27.6276,0.000,0.000
829,27.6609,0.000,0.000
830,27.6943,0.000,0.000
831,27.7277,0.000,0.000
832,27.7610,0.000,0.000
833,27.7944,0.000,0.000
834,27.8278,0.000,0.000
835,27.8611,0.000,0.000
836,27.8945,0.000,0.000
837,27.9279,7.493,0.250
838,27.9612,0.000,0.000
839,27.9946,0.000,0.000
840,28.0280,0.000,0.000
841,28.0613,0.000,0.000
842,28.0947,0.000,0.000
843,28.1281,0.000,0.000
844,28.1614,0.000,0.000
845,28.1948,0.000,0.000
846,28.2282,0.000,0.000
847,28.2615,0.000,0.000
848,28.2949,0.000,0.000
849,28.3283,0.000,0.000
850,28.3616,0.000,0.000
851,28.3950,0.000,0.000
852,28.4284,0.000,0.000
853,28.4617,0.000,0.000
854,28.4951,0.000,0.000
855,28.5285,0.000,0.000
856,28.5618,0.000,0.000
857,28.5952,0.000,0.000
858,28.6286,0.000,0.000
859,28.6619,0.000,0.000
860,28.6953,0.000,0.000
861,28.7287,0.000,0.000
