frame,timestamp,position_x_px,position_y_px,orientation,num_markers
589,19.6529,893.00,457.00,-19.44,1
590,19.6863,893.00,457.00,-19.44,1
591,19.7197,893.00,457.00,-19.44,1
592,19.7530,893.00,457.00,-19.44,1
593,19.7864,893.00,457.00,-19.44,1
594,19.8198,893.00,457.00,-19.44,1
595,19.8531,893.00,457.00,-19.44,1
596,19.8865,893.00,457.00,-19.44,1
597,19.9199,893.00,457.00,-19.44,1
598,19.9532,893.00,457.00,-19.44,1
599,19.9866,893.00,457.00,-19.44,1
600,20.0200,893.00,457.00,-19.44,1
601,20.0533,893.00,457.00,-19.44,1
602,20.0867,893.00,457.00,-19.44,1
603,20.1201,893.00,457.00,-19.44,1
604,20.1534,893.00,457.00,-19.44,1
605,20.1868,893.00,457.00,-19.44,1
606,20.2202,893.00,457.00,-19.44,1
607,20.2535,893.00,457.00,-19.44,1
608,20.2869,893.00,457.00,-19.44,1
609,20.3203,893.00,457.00,-19.44,1
610,20.3536,893.00,457.00,-19.44,1
611,20.3870,893.00,457.00,-19.44,1
612,20.4204,893.00,457.00,-19.44,1
613,20.4537,893.00,457.00,-19.44,1
614,20.4871,893.00,457.00,-19.44,1
615,20.5205,893.00,457.00,-19.44,1
616,20.5538,893.00,457.00,-19.44,1
617,20.5872,893.00,457.00,-19.44,1
618,20.6206,893.00,457.00,-19.44,1
619,20.6539,893.00,457.00,-19.44,1
620,20.6873,893.00,457.00,-19.44,1
621,20.7207,893.00,457.00,-19.44,1
622,20.7540,893.00,457.00,-19.44,1
623,20.7874,893.00,457.00,-19.44,1
624,20.8208,893.00,457.00,-19.44,1
625,20.8541,893.00,457.00,-19.44,1
626,20.8875,893.00,457.00,-19.44,1
627,20.9209,893.00,457.00,-19.44,1
628,20.9542,893.00,457.00,-19.44,1
