time,user,param,value,time_sec
00:08:18.4733898,3,offset,114.0,498.4733898
00:08:18.4893191,3,offset,112.0,498.4893191
00:08:18.5053162,3,offset,110.0,498.5053162
00:08:18.5235527,3,offset,107.0,498.5235527
00:08:18.5401047,3,offset,106.0,498.54010470000003
00:08:18.5573496,3,offset,105.0,498.5573496
00:08:18.6232684,3,offset,104.0,498.62326840000003
00:08:18.7235668,3,offset,103.0,498.7235668
00:08:18.8216291,3,offset,106.0,498.8216291
00:08:18.8404766,3,offset,105.0,498.8404766
00:08:19.1070862,3,offset,104.0,499.1070862
00:08:19.1239331,3,offset,103.0,499.1239331
00:08:19.1401162,3,offset,102.0,499.1401162
00:08:19.1562925,3,offset,101.0,499.1562925
00:08:19.1737436,3,offset,100.0,499.1737436
00:08:19.2068323,3,offset,99.0,499.2068323
00:08:19.2885252,3,offset,98.0,499.2885252
00:08:19.8560145,3,offset,99.0,499.8560145
00:08:20.0071373,3,offset,100.0,500.0071373
00:08:20.0558476,3,offset,101.0,500.0558476
00:08:20.1627163,3,offset,102.0,500.1627163
00:08:22.2074586,3,offset,101.0,502.2074586
00:08:22.8565704,3,offset,100.0,502.8565704
00:08:23.1397428,3,offset,99.0,503.1397428
00:08:38.2827299,3,amplitude,25.6,518.2827299
00:08:38.5062858,3,amplitude,25.5,518.5062858
00:08:38.5248020,3,amplitude,24.8,518.524802
00:08:38.5408940,3,amplitude,24.0,518.540894
00:08:38.5568478,3,amplitude,23.5,518.5568478
00:08:38.5743359,3,amplitude,22.9,518.5743359
00:08:38.5895082,3,amplitude,22.7,518.5895082
00:08:38.6077507,3,amplitude,22.6,518.6077507
00:08:38.6562686,3,amplitude,22.5,518.6562686
00:08:38.6742876,3,amplitude,22.4,518.6742876
00:08:38.7064628,3,amplitude,22.2,518.7064628
00:08:38.7232043,3,amplitude,21.9,518.7232043
00:08:38.7401676,3,amplitude,21.8,518.7401676
00:08:38.7572641,3,amplitude,21.2,518.7572641
00:08:38.7733371,3,amplitude,20.9,518.7733371
00:08:38.7902706,3,amplitude,20.6,518.7902706
00:08:38.8072540,3,amplitude,20.5,518.8072540000001
00:08:38.8228934,3,amplitude,20.4,518.8228934
00:08:38.8403191,3,amplitude,20.3,518.8403191
00:08:38.8576238,3,amplitude,20.2,518.8576238
00:08:38.8899880,3,amplitude,20.0,518.889988
